"date","pricetoearnings","pricetotangiblebook","adjdilutedeps","dividendyield","fcf_yield","pricetorevenue","pricetoearnings_10yavg","pricetotangiblebook_10yavg","ebitmargin","ebitdamargin","profitmargin","freecashflow","totaloperatingincome","roa","roe_short","roe_long","roe_ratio","fcf_margin_short","fcf_margin_long","fcf_margin_ratio","ebitdagrowth","ebitgrowth","epsgrowth","tangbookvaluepershare","revenuegrowth_short","revenuegrowth_long","revenuegrowth_ratio","fcffgrowth_short","fcffgrowth_long","fcffgrowth_ratio","ltdebttoequity","ebittointerestex","netdebttoebitda_short","netdebttoebitda_long","netdebttoebitda_ratio"
2013-10-01,676.7786,26.1511,0.52,0,-0.759754905376344,2.4907,41.1811101240097,10.0643088054187,0.01876,0.056359,0.00938,-353286031,5.1e+08,0.019209,0.0251018592218269,0.0597940219071491,0.419805499299015,29.5185527056145,5.11945395491875,5.76595726137026,0.416503,0.348315,1.363636,15.2494623655914,0.226730291099468,0.27310259256492,0.830201899476921,0.204147303842657,-4.7075539441693,-0.0433658979299666,0.3274,12.3077,-1.48842082303481,-1.26430343650538,1.17726550451283
2013-07-01,1082.3976,22.1445,0.406666666666667,0,-4.71339880919037,2.0372,65.8625062369936,8.5223599137931,-0.000936,0.047859,-0.002399,-2154023255.8,-2.5e+07,-0.006152,0.0349561282936081,0.0620211298093023,0.563616438479732,19.6033856484532,5.09888220818568,3.84464375681834,-0.286835,-0.6,0.85,14.1181619256018,0.222362622791489,0.277634430508773,0.800918756308442,-0.568509291653559,-4.43623280545094,0.128151365490786,0.3349,-0.4444,-1.68930571978578,-1.28978187637117,1.3097607826051
2013-04-01,1548.6741,20.694,0.293333333333333,0,-3.8561661506579,1.8942,94.2348334570591,7.96413177339902,0.002611,0.050815,-0.000446,-1758411764.7,7.9e+07,-0.001177,0.0359966317889947,0.0675768706463913,0.532676808568924,9.46686640965271,4.91966045252468,1.92429264194331,1.582524,-0.738854,-3,13.4188596491228,0.21894411685404,0.281311643295328,0.778297386803101,-1.42060255042518,-4.60111799341452,0.308751601775581,0.3483,1.2424,-1.80612321117347,-1.30814513052069,1.38067494885263
2013-01-01,2014.9506,20.9233,0.18,0,-3.88720902332613,1.9286,122.607160677125,8.05237838669951,0.006472,0.050031,0.005103,-1799777777.8,1.81e+08,0.013403,0.0095622517285854,0.0746975374663111,0.128012944642225,7.8509661046472,4.65908545333603,1.68508738104936,1.86121,0.11828,-0.357143,12.7365010799136,0.224994378345457,0.284592316192248,0.790584866646465,-2.12533779279009,-4.97358226660887,0.427325352002109,0.3605,3.1515,-1.51792762324577,-1.3227665287228,1.1475400913806
2012-10-01,2481.2271,20.1497,0.22,0,-2.69234862825607,1.8602,150.97948789719,7.75465671182266,0.016739,0.047865,0.004608,-1219633928.6,4.05e+08,0.009735,0.00149663833785328,0.0819478668825673,0.0182632982991246,3.83357971320428,4.3811718640559,0.875012401283734,-0.25092,0.275986,-0.421053,12.4503311258278,0.238273411618916,0.288023547333045,0.827270595842631,-2.60544651718518,-5.34915223072374,0.487076531907311,0.3765,12.7143,-1.25441896378733,-1.33731101455803,0.938015876734485
2012-07-01,2947.5036,22.9309,0.115,0,-2.20937248584071,2.0077,179.351815117255,8.82500769704434,-0.000724,0.08308,-0.019846,-998636363.6,-2.8e+07,-0.054256,-0.000993760231602383,0.0874444646265462,-0.0113644727067229,0.316749443370209,4.16676886086274,0.0760180019451872,6.213836,-1.076336,-5.285714,11.0907079646018,0.258478892480346,0.291983516015756,0.885251660804024,-2.85325188731191,-5.49585792694236,0.519164055046693,0,-0.4545,-1.05398192109901,-1.35473370023495,0.777999337372517
2012-04-01,278.1497,20.984,0.01,0,-2.39712568034934,1.9251,16.925052634141,8.07573891625616,0.012233,0.024077,0.000545,-1097883561.6,1.07e+08,0.001521,0.00565161077554186,0.0920890997337671,0.06137111549446,0.225349160482211,3.98039656982228,0.0566147509498715,0.423963,-0.299107,-0.97561,10.882096069869,0.297745866697356,0.295883012145779,1.00629591586914,-2.51444426689553,-5.5499646036006,0.453055910530359,0,7.4762,-1.10853301765028,-1.37027832761477,0.808983835845885
2012-01-01,166.3475,17.573,0.28,0,-2.16583850934783,1.8122,10.1220321037836,6.76300800492611,0.007053,0.021312,0.00986,-996285714.3,1.92e+08,0.027234,0.0184085191658238,0.0977004229567014,0.188418008937198,0.749251958335161,3.74697148523596,0.199962012331134,-0.017483,-0.694079,-0.363636,11.5239130434783,0.341004959338352,0.299165751706888,1.13985293233851,-1.91035040772848,-5.74612683223782,0.332458795898959,0,4.4286,-1.12799910588564,-1.37967060378633,0.817585808373384
2011-10-01,126.4645,13.7537,0.38,0,-0.338841393492408,1.6598,7.69520268707938,5.29314193349754,0.016006,0.077965,0.010097,-156205882.4,2.6e+08,0.022028,0.04733299562697,0.103852211453422,0.455772630785036,-3.74063046893425,3.4850466106585,-1.0733372855026,2.314634,-0.446429,-0.582418,12.58568329718,0.38804254174603,0.302225131680061,1.28395193208756,-0.889240337205775,-6.01101584821354,0.147935117733894,0.0329,13.2857,-0.951329181205615,-1.38636081845941,0.686206050069112
2011-07-01,114.577,17.0923,0.14,0,-1.57421992321041,2.2867,6.97186355283494,6.57800954433498,0.012045,0.014619,0.005793,-725715384.6,7.9e+07,0.015204,0.0753759924178349,0.109976937759726,0.68537998923478,-3.66759106549643,3.2191418926263,-1.13930705381373,-0.334728,-0.548276,-0.72549,12.6507592190889,0.409740973110134,0.305394543818789,1.34167745103285,0.552041076909448,-6.26429430835232,-0.0881250225062702,0,7.7059,-0.687035735760358,-1.39371079429327,0.492954304848263
