date,open,high,low,close,volume,R_t1
12/15/17,1179.03,1182.75,1169.33,1179.14,4778621,-0.179062707
12/8/17,1170.4,1172.79,1157.1,1162,3050074,-0.136196213
12/1/17,1172.05,1179.65,1152,1162.35,4107094,-0.150247344
11/24/17,1160.7,1186.84,1160.7,1186,3528011,-0.175118044
11/17/17,1138.28,1138.8,1125.81,1129.88,2413388,-0.108993875
11/10/17,1126.1,1131.75,1124.06,1125.35,2179937,-0.115137513
11/3/17,1091.15,1112.68,1088.52,1111.6,3751480,-0.136523929
10/27/17,1058.14,1105.58,1050.55,1100.95,16565021,-0.126799582
10/20/17,993.53,994.62,982,982.91,2365122,-0.049607797
10/13/17,1007,1007.77,1001.03,1002.94,2431462,-0.077721499
10/6/17,975.64,995.75,975.64,989.58,3782067,-0.092008731
9/29/17,960.11,964.83,958.375,961.35,2543759,-0.069142352
9/22/17,961.01,965.61,954.42,955.1,2641787,-0.071783059
9/15/17,993.01,996.25,984.03,986.79,3760183,-0.143069954
9/8/17,979.1,979.88,963.47,965.9,2605322,-0.117600166
9/1/17,984.2,984.5,976.875,978.25,2535917,-0.128586762
8/25/17,956,957.621,944.1,945.26,3324791,-0.100903455
8/18/17,961.4,965.43,954.65,958.47,3284821,-0.118136196
8/11/17,960,970.39,951.38,967.99,3468017,-0.126984783
8/4/17,989.68,991.672,982,987.58,2730308,-0.162133701
7/28/17,1012.14,1032.85,1001,1020.04,7709420,-0.205717423
7/21/17,1021.28,1026.1,1011,1025.67,2734577,-0.18514727
7/14/17,1002.4,1004.45,996.89,1001.81,2102469,-0.193130434
7/7/17,969.55,980.11,969.14,978.76,2643387,-0.165127304
6/30/17,980.12,983.47,967.61,968,3390345,-0.177696281
6/23/17,1002.54,1004.62,998.02,1003.74,2879145,-0.252924064
6/16/17,996,999.75,982,987.71,11472662,-0.229946037
6/9/17,1012.5,1012.99,927,978.31,7647692,-0.225429567
6/2/17,998.99,1008.48,995.67,1006.73,3752328,-0.2364785
5/26/17,995,998.65,989.2491,995.78,3469154,-0.256522525
5/19/17,962.84,968.92,959.72,959.84,3972089,-0.18697908
5/12/17,954.5,962.79,951.53,961.35,3625857,-0.209278619
5/5/17,940.52,940.79,930.3,934.15,2866397,-0.208895788
4/28/17,948.83,949.59,924.3335,924.99,7364681,-0.183720905
4/21/17,902.67,903.65,896.77,898.53,2420494,-0.13601104
4/7/17,899.65,900.09,889.31,894.88,3707367,-0.084804667
3/31/17,877,890.35,876.65,886.54,3957612,-0.071717012
3/24/17,851.68,851.8,843.53,845.61,2138269,-0.007308334
3/17/17,853.49,853.83,850.64,852.31,3384403,-0.01759923
3/10/17,857,857.35,851.72,852.46,2436434,-0.05479436
3/3/17,847.2,851.985,846.27,849.88,1951575,-0.083964795
2/24/17,844.69,845.81,837.7501,845.24,3687963,-0.100681463
2/17/17,842,847.27,840.73,845.07,3112275,-0.085945543
2/10/17,823.82,828,822.85,827.46,2429609,-0.070649941
2/3/17,806.72,818.3,804,810.2,10868773,-0.065280178
1/27/17,839,839.7,829.44,835.77,2998700,-0.075630855
1/20/17,815.28,816.02,806.26,808.33,3376196,-0.052391969
1/13/17,814.32,821.65,811.4,817.14,3791945,-0.071383117
1/6/17,782.36,799.44,778.48,795.99,5986234,-0.064234475
12/30/16,766.47,767.3999,748.28,749.87,4139449,-0.019243336
12/23/16,764.55,766.5,757.99,760.59,1981616,-0.019432283
12/16/16,765,765.13,754,757.77,4848219,-0.042347942
12/9/16,770,770.25,765.34,768.66,2470923,-0.090677283
12/2/16,743.4,748.4903,736.7,740.34,3561307,-0.045857309
11/25/16,786.5,786.75,777.9,780.37,1837068,-0.080038956
11/18/16,761,767.74,757.6435,760.16,4373408,-0.045543044
11/11/16,735.73,743.26,728.9,739.01,6622784,-0.036224138
11/4/16,762.79,766,753.2301,755.05,5122103,-0.069200715
10/28/16,782,789.49,774.61,776.32,10841073,-0.085531739
10/21/16,809.36,819.42,809,818.99,2793015,-0.177096179
10/14/16,835.08,835.74,822.96,822.96,2999814,-0.198515116
10/7/16,845.79,845.95,837.45,839.43,2426228,-0.260807929
9/30/16,832.61,839.95,832.4,837.31,4430566,-0.252499074
9/23/16,803.13,807.75,802.12,805.75,2353511,-0.262053987
9/16/16,773.28,780.46,771.66,778.52,5499182,-0.231233623
9/9/16,779.36,781,760.11,760.14,4257344,-0.273712737
9/2/16,774.11,776,771.7,772.44,2181792,-0.262583502
8/26/16,760.05,770,759.795,769,2776830,-0.252093628
8/19/16,761.9,762.49,756.89,757.31,2343237,-0.266839207
8/12/16,768.46,773.15,768.4225,772.56,1563318,-0.307626592
8/5/16,764.81,768.47,763.09,765.98,2704391,-0.337998381
7/29/16,765,766,755,758.81,6777050,-0.338266496
7/22/16,747.79,751.28,743.53,744.86,2277711,-0.211932444
7/15/16,746.55,746.55,734.05,735.44,3121385,-0.189084086
7/8/16,740.14,746.1,738,745.81,3429217,-0.235488931
7/1/16,717.32,728,716.54,725.68,2920423,-0.163474259
6/24/16,693,712.5292,692.2,698.96,7632511,-0.049816871
6/17/16,718.19,718.2,699.18,706.39,5897788,-0.093772562
6/10/16,722.35,724.98,714.21,717.91,3425718,-0.063058043
6/3/16,726.74,727,718.43,725.54,3367306,-0.072056675
5/27/16,715,716.6,711.1,712.24,2249164,-0.061482085
5/20/16,701.05,707.24,700,702.8,2916165,-0.08601309
5/13/16,714.64,719.25,706.51,709.92,4763419,-0.071205206
5/6/16,656.05,676.95,656.01,673.95,4365345,-0.07129609
4/29/16,666,669.98,654,659.59,10310739,-0.091814612
4/22/16,624.47,628.25,611.56,620.5,5083904,-0.08016116
4/15/16,621.92,626.77,618.11,625.89,2887681,-0.137548131
4/8/16,594.32,597.86,589,594.6,2591936,-0.104372688
4/1/16,590.49,599.03,588.3,598.5,2917386,-0.12406015
3/18/16,560.94,562.33,546.09,552.08,7296885,-0.021409941
3/11/16,566.95,570.06,562.73,569.61,3771310,-0.070521936
3/4/16,581.07,581.4,571.065,575.14,3416545,-0.132385158
2/26/16,560.12,562.5,553.17,555.23,4877039,-0.067035283
2/19/16,520.71,535.95,515.35,534.9,4974717,-0.075584221
2/12/16,510.7,516.75,501.4932,507.08,5384787,0.048197523
2/5/16,529.28,529.45,499.19,502.13,9708929,0.040806166
1/29/16,571.98,593,570,587,14677550,-0.086626917
1/22/16,588.73,600.1,584.1079,596.38,5120144,-0.112277407
1/15/16,572.24,584.62,565.3,570.18,7784523,-0.152881546
1/8/16,619.66,624.14,606,607.05,5512915,-0.269401203
12/18/15,668.65,676.84,664.13,664.14,6841304,-0.340349926
12/11/15,651.23,657.88,639.62,640.15,5474420,-0.320596735
12/4/15,666,674.775,661.4,672.64,4534796,-0.360846813
11/27/15,680.8,680.99,672.1,673.26,1966801,-0.365846775
11/20/15,667.94,668.87,657.57,668.45,3896135,-0.357872691
11/13/15,663.57,667,640.45,642.35,6261076,-0.334272593
11/6/15,655,662.26,652,659.37,4092165,-0.35392875
10/30/15,626.01,630.72,625.28,625.9,3874363,-0.307093785
10/23/15,617.68,619.45,595.36,599.03,10692667,-0.294075422
10/16/15,565.27,570.94,560.31,570.76,4315792,-0.22016259
10/9/15,534.48,541.79,530.27,539.8,3537364,-0.304260837
10/2/15,512.99,532.6,508.1,532.54,4597795,-0.281462425
9/25/15,542.57,542.8,521.4,524.25,4030998,-0.29316166
9/18/15,534.62,546.237,531.35,540.26,6160075,-0.299429904
9/11/15,521.07,529.44,520.605,529.44,3227862,-0.300052886
9/4/15,497.65,502.85,495.64,499,2692510,-0.238296593
8/28/15,517.5,521.5,513.04,518.01,2746708,-0.266114554
8/21/15,507.36,512.33,494.47,494.47,6706466,-0.22409853
8/14/15,528.25,534.11,528.25,531.52,1994799,-0.281626279
8/7/15,529.16,529.4599,518.21,522.62,3969215,-0.283839118
7/31/15,539.09,542.84,534.5201,536.15,3025598,-0.338748485
7/24/15,578.99,580.57,529.35,529.42,21909381,-0.409939179
7/17/15,477.7,485.42,477.25,483.01,4932176,-0.398066293
7/10/15,440.49,444.72,439,443.51,2400981,-0.330499876
